epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,725.91,1.76709,2.33142,2.1315,1.87074,0.29852,0.43969,0.26747,0.13298,0.30635,0.45599,0.28394,0.13539,1.58922,1.96692,2.03168,1.85549,0.00107056,0.00107056,0.00107056
31,749.43,1.79384,2.31733,2.21579,1.73765,0.25449,0.34734,0.28827,0.12663,0.24436,0.41081,0.31582,0.133,1.61644,1.76045,1.92559,1.91692,0.00106437,0.00106437,0.00106437
32,773.408,1.74322,2.16622,2.16669,1.82306,0.42869,0.30546,0.34672,0.1529,0.42869,0.30546,0.36046,0.18084,1.54728,1.94117,2.28278,1.83207,0.00105819,0.00105819,0.00105819
33,796.822,1.73401,2.24956,2.09521,1.8189,0.51137,0.38236,0.33691,0.15427,0.53328,0.40631,0.38139,0.16532,1.55478,1.85161,1.88757,1.86652,0.001052,0.001052,0.001052
34,819.752,1.81968,2.38103,2.08327,1.82052,0.31572,0.51052,0.3222,0.14149,0.31785,0.5194,0.34431,0.15137,1.48887,1.94288,2.23818,1.81813,0.00104581,0.00104581,0.00104581
35,842.241,1.74503,2.17746,1.93287,1.75455,0.64017,0.33901,0.3584,0.16671,0.29269,0.56494,0.37846,0.1767,1.43621,1.73884,1.9411,1.77972,0.00103962,0.00103962,0.00103962
36,865.549,1.71455,2.32948,2.07639,1.80476,0.31338,0.49853,0.39845,0.19506,0.34752,0.53111,0.41398,0.20074,1.58911,1.88869,2.05245,1.88269,0.00103344,0.00103344,0.00103344
37,890.028,1.6471,2.10077,1.90183,1.7091,0.42914,0.52823,0.40077,0.18442,0.45786,0.55204,0.43193,0.20102,1.59266,1.88358,1.78432,1.91289,0.00102725,0.00102725,0.00102725
38,912.855,1.58304,2.15099,1.91769,1.67816,0.2515,0.44597,0.23539,0.11425,0.30786,0.48939,0.2843,0.12243,1.50741,1.81213,1.94764,1.91434,0.00102106,0.00102106,0.00102106
39,935.685,1.63654,2.1758,1.99773,1.66722,0.38041,0.3295,0.2324,0.11079,0.4163,0.38589,0.25951,0.1297,1.52494,1.90421,2.12854,1.86251,0.00101488,0.00101488,0.00101488
40,959.31,1.59955,2.2084,1.95305,1.69992,0.49013,0.40882,0.34924,0.14406,0.34337,0.43304,0.36408,0.16188,1.56591,1.97166,1.85671,1.93372,0.00100869,0.00100869,0.00100869
41,982.092,1.68437,2.1417,1.93918,1.69314,0.33079,0.38141,0.30186,0.14064,0.3371,0.37435,0.30011,0.13178,1.53626,1.87026,2.08106,1.83518,0.0010025,0.0010025,0.0010025
42,1005.81,1.6834,2.20554,1.93614,1.80051,0.4561,0.39547,0.40811,0.16073,0.39724,0.3867,0.41948,0.18837,1.55576,1.75544,1.77618,1.89703,0.000996313,0.000996313,0.000996313
43,1028.62,1.60789,2.19937,1.90566,1.73599,0.42708,0.46028,0.40099,0.17494,0.43047,0.47065,0.41455,0.19748,1.54139,1.8351,1.67736,1.91228,0.000990125,0.000990125,0.000990125
